Language,Total Speakers,Native Speakers,Origin,Scripts,Omniglot,Ethnologue,Wikipedia
Dutch,23069480,23069480,Indo-European,Nederlands?,https://www.omniglot.com/writing/dutch.htm,,http://en.wikipedia.org/wiki/Dutch_language
Sa'idi Spoken Arabic,22400000,22400000,Afro-Asiatic,,,,
Gan Chinese,22100000,22100000,Sino-Tibetan,赣语,https://www.omniglot.com/chinese/gan.htm,http://www.ethnologue.com/14/show_language.asp?code=KNN,https://en.wikipedia.org/wiki/Gan_Chinese
Northern Pashto,20850900,20850900,Indo-European,پښتو,https://www.omniglot.com/writing/pashto.htm,,https://en.wikipedia.org/wiki/Pashto
Magahi,20746400,20735600,Indo-European,मगही,https://www.omniglot.com/writing/magahi.htm,http://www.ethnologue.com/18/language/mag,https://en.wikipedia.org/wiki/Magahi_language
Saraiki,20009000,20009000,Indo-European,سرائيكى ,https://www.omniglot.com/writing/saraiki.htm,,http://en.wikipedia.org/wiki/Saraiki_language
Xhosa,19183300,8183300,Niger-Congo,isiXhosa,https://www.omniglot.com/writing/xhosa.htm,https://www.ethnologue.com/language/xho,http://en.wikipedia.org/wiki/Xhosa_language
Malay,19092180,16092180,Austronesian,Bahasa Melayu,https://www.omniglot.com/writing/malay.htm,https://www.ethnologue.com/language/zlm,http://en.wikipedia.org/wiki/Malay_language
Khmer,17591230,16591230,Austronesian,ភាសាខ្មែរ ,https://www.omniglot.com/writing/khmer.htm,https://www.ethnologue.com/language/khm,https://en.wikipedia.org/wiki/Khmer_language
Afrikaans,17534580,7234580,Indo-European,Afrikaans,https://www.omniglot.com/writing/afrikaans.htm,,http://en.wikipedia.org/wiki/Afrikaans
Sinhala,17287880,15287880,Indo-European,සිංහල ,,,
Somali,16321530,16225930,Afro-Asiatic,,,,
Chhattisgarhi,16300000,16300000,Indo-European,,,,
Cebuano,15942480,15942480,Austronesian,,,,
Mesopotamian Spoken Arabic,15655900,15655900,Afro-Asiatic,,,,
Assamese,15329040,15328790,Indo-European,,,,
Northeastern Thai,15000000,15000000,Kra-Dai,,,,
Northern Kurdish,14605670,14605670,Indo-European,,,,
Hijazi Spoken Arabic,14524500,14524500,Afro-Asiatic,,,,
Nigerian Fulfulde,14485000,14485000,Niger-Congo,,,,
Bavarian,14359000,14359000,Indo-European,,,,
Bamanankan,14102320,4102320,Niger-Congo,,,,
South Azerbaijani,13813750,13813750,Turkic,,,,
Northern Sotho,13731000,4631000,Niger-Congo,,,,
Setswana,13664710,5814710,Niger-Congo,,,,
Souther Sotho,13524520,5624520,Niger-Congo,,,,
Czech,13386850,10704850,Indo-European,,,,
Greek,13170460,13111960,Indo-European,,,,
Chittagonian,13000000,13000000,Indo-European,,,,
Kazakh,12934060,12934060,Turkic,,,,
Swedish,12804900,9654900,Indo-European,,,,
Deccan,12800000,12800000,Indo-European,,,,
Hungarian,12574280,12574280,Uralic,,,,
Jula,12486000,2208000,Niger-Congo,,,,
Sadri,12131225,5131180,Indo-European,,,,
Kinyarwanda,12120250,12120250,Niger-Congo,,,,
Cameroonian Pidgin,12000000,,Indo-European,,,,
Sylheti,11800000,10300000,Indo-European,,,,
South Levantine Spoken Arabic,11601100,11601100,Afro-Asiatic,,,,
Tunisian Spoken Arabic,11571600,11571600,Afro-Asiatic,,,,
Sanaani Spoken Arabic,11350000,11350000,Afro-Asiatic,,,,
